FILEBASE, SCALE, BYTES, ACCA, ACCB, ACCAVG, OCRTIME
8721_002.2B, 1.0, 29308, 86, 85, 85.5, 2.49087095261
8748_002.2B, 1.0, 37498, 95, 86, 90.5, 1.68309998512
8527_001.2B, 1.0, 17596, 81, 85, 83.0, 2.74256300926
8738_001.2B, 1.0, 35264, 79, 89, 84.0, 2.62073707581
8758_003.2B, 1.0, 46154, 97, 97, 97.0, 4.02486014366
8731_001.2B, 1.0, 25780, 67, 74, 70.5, 1.23120713234
8554_001.2B, 1.0, 12572, 95, 96, 95.5, 1.14050006866
8754_002.2B, 1.0, 31172, 93, 93, 93.0, 3.05455994606
8557_001.2B, 1.0, 24590, 76, 82, 79.0, 2.46262598038
8723_001.2B, 1.0, 35054, 91, 91, 91.0, 2.66517281532
8556_001.2B, 1.0, 12980, 96, 96, 96.0, 1.14944887161
8733_001.2B, 1.0, 23306, 91, 95, 93.0, 1.42664408684
8730_001.2B, 1.0, 21462, 90, 91, 90.5, 1.37394380569
8531_001.2B, 1.0, 23648, 90, 96, 93.0, 2.22356200218
8715_001.2B, 1.0, 29402, 76, 84, 80.0, 2.58238005638
8600_001.2B, 1.0, 15236, 95, 97, 96.0, 1.45324397087
8740_001.2B, 1.0, 22840, 85, 91, 88.0, 2.06918907166
8740_002.2B, 1.0, 26510, 90, 94, 92.0, 1.96087312698
8582_001.2B, 1.0, 21154, 100, 100, 100.0, 1.82655286789
8575_001.2B, 1.0, 11376, 97, 99, 98.0, 0.820315122604
8552_001.2B, 1.0, 18100, 86, 86, 86.0, 1.33534097672
8703_001.2B, 1.0, 24800, 83, 87, 85.0, 2.51910996437
8589_001.2B, 1.0, 11558, 85, 87, 86.0, 0.957790136337
8525_001.2B, 1.0, 53108, 93, 94, 93.5, 4.34781002998
8743_002.2B, 1.0, 21632, 96, 96, 96.0, 1.7542579174
8569_001.2B, 1.0, 26416, 65, 76, 70.5, 1.97642397881
8745_002.2B, 1.0, 10288, 93, 93, 93.0, 0.613068819046
8749_001.2B, 1.0, 23090, 92, 93, 92.5, 1.26161694527
8759_001.2B, 1.0, 31938, 85, 88, 86.5, 2.95854783058
8548_001.2B, 1.0, 18542, 90, 93, 91.5, 1.71889209747
8526_001.2B, 1.0, 17198, 87, 92, 89.5, 1.02437996864
8529_001.2B, 1.0, 38396, 95, 98, 96.5, 3.32360601425
8535_001.2B, 1.0, 18582, 53, 60, 56.5, 1.79111003876
8500_001.2B, 1.0, 33130, 93, 99, 96.0, 2.16037201881
8594_001.2B, 1.0, 11280, 89, 90, 89.5, 1.27103900909
8725_001.2B, 1.0, 32012, 96, 96, 96.0, 1.80497288704
8520_001.2B, 1.0, 33766, 93, 94, 93.5, 2.26096916199
8756_001.2B, 1.0, 29410, 94, 95, 94.5, 2.76809406281
8752_002.2B, 1.0, 47130, 97, 96, 96.5, 4.63165307045
8758_001.2B, 1.0, 37434, 92, 94, 93.0, 3.17204809189
8744_002.2B, 1.0, 39706, 69, 70, 69.5, 10.1432769299
8521_001.2B, 1.0, 23992, 86, 89, 87.5, 2.29176688194
8759_003.2B, 1.0, 33890, 93, 93, 93.0, 2.98701190948
8573_001.2B, 1.0, 23706, 96, 96, 96.0, 2.13584399223
8544_001.2B, 1.0, 26432, 92, 93, 92.5, 3.03103399277
8585_001.2B, 1.0, 15642, 92, 99, 95.5, 1.3434278965
8578_001.2B, 1.0, 15066, 70, 78, 74.0, 1.01027011871
8722_001.2B, 1.0, 31458, 92, 95, 93.5, 1.78457903862
8760_001.2B, 1.0, 26582, 94, 95, 94.5, 2.73107600212
8545_001.2B, 1.0, 12878, 81, 93, 87.0, 1.24470496178
8748_001.2B, 1.0, 56240, 72, 78, 75.0, 5.60338282585
8574_001.2B, 1.0, 29920, 89, 98, 93.5, 1.77305293083
8587_001.2B, 1.0, 17252, 96, 97, 96.5, 1.25766611099
8515_001.2B, 1.0, 17792, 85, 87, 86.0, 1.81211185455
8512_001.2B, 1.0, 7696, 58, 80, 69.0, 0.741078853607
8563_001.2B, 1.0, 23352, 85, 87, 86.0, 3.10846090317
8551_001.2B, 1.0, 12424, 91, 96, 93.5, 1.12228512764
8741_001.2B, 1.0, 21020, 85, 87, 86.0, 2.07395815849
8503_001.2B, 1.0, 31032, 93, 98, 95.5, 1.80213999748
8550_001.2B, 1.0, 18644, 85, 97, 91.0, 1.07332205772
8560_001.2B, 1.0, 24364, 97, 97, 97.0, 1.69810199738
8743_001.2B, 1.0, 35020, 92, 95, 93.5, 2.58467912674
8540_001.2B, 1.0, 21988, 98, 98, 98.0, 1.860268116
8719_001.2B, 1.0, 25446, 91, 92, 91.5, 2.93929386139
8518_001.2B, 1.0, 15450, 72, 93, 82.5, 1.37827897072
8702_001.2B, 1.0, 30586, 89, 90, 89.5, 3.58513092995
8750_002.2B, 1.0, 35140, 91, 92, 91.5, 2.00290894508
8513_001.2B, 1.0, 20846, 46, 50, 48.0, 3.91423106194
8734_002.2B, 1.0, 29248, 93, 94, 93.5, 1.78938889503
8505_001.2B, 1.0, 86230, 97, 98, 97.5, 2.10474395752
8509_001.2B, 1.0, 44720, 93, 95, 94.0, 3.40630197525
8517_001.2B, 1.0, 12624, 92, 96, 94.0, 0.774896860123
8742_001.2B, 1.0, 29010, 90, 96, 93.0, 1.53821897507
8586_001.2B, 1.0, 10674, 67, 89, 78.0, 0.861344099045
8571_001.2B, 1.0, 27980, 83, 80, 81.5, 3.26211190224
8541_001.2B, 0.9, 31038, 96, 96, 96.0, 4.28045201302
8597_001.2B, 0.9, 16096, 87, 88, 87.5, 2.49709916115
8741_002.2B, 0.9, 11432, 95, 95, 95.0, 0.750670909882
8750_001.2B, 0.9, 26360, 92, 93, 92.5, 2.24556398392
8752_001.2B, 0.9, 34358, 84, 84, 84.0, 7.91093397141
8564_001.2B, 0.9, 23548, 73, 79, 76.0, 2.66259384155
8502_001.2B, 0.9, 28354, 88, 93, 90.5, 2.01414394379
8717_001.2B, 0.9, 25840, 83, 82, 82.5, 3.62123703957
8520_003.2B, 0.9, 28204, 94, 96, 95.0, 2.02553796768
8747_002.2B, 0.9, 33644, 97, 98, 97.5, 1.75855588913
8749_002.2B, 0.9, 30742, 76, 64, 70.0, 4.48508501053
8529_002.2B, 0.9, 6492, 73, 90, 81.5, 1.14608001709
8729_001.2B, 0.9, 30392, 89, 89, 89.0, 3.79901099205
8523_001.2B, 0.9, 34378, 78, 84, 81.0, 6.58605909348
8710_001.2B, 0.9, 17336, 75, 78, 76.5, 3.68336510658
8584_001.2B, 0.9, 24416, 95, 96, 95.5, 1.85006189346
8501_001.2B, 0.9, 12316, 89, 92, 90.5, 1.08912396431
8592_001.2B, 0.9, 16262, 97, 97, 97.0, 1.0492978096
8570_001.2B, 0.9, 8428, 82, 85, 83.5, 1.2016890049
8508_001.2B, 0.9, 35404, 90, 93, 91.5, 3.92597103119
8759_004.2B, 0.9, 31942, 72, 73, 72.5, 7.18198108673
8734_001.2B, 0.9, 25976, 82, 86, 84.0, 2.73731398582
8538_001.2B, 0.9, 21608, 93, 94, 93.5, 3.38505291939
8759_002.2B, 0.9, 30570, 95, 96, 95.5, 3.59430193901
8580_001.2B, 0.9, 10962, 99, 99, 99.0, 0.972800970078
8601_001.2B, 0.9, 32600, 98, 98, 98.0, 3.281208992
8555_001.2B, 0.9, 23878, 81, 88, 84.5, 2.66344594955
8541_002.2B, 0.9, 28882, 94, 94, 94.0, 3.85387587547
8547_001.2B, 0.9, 10392, 88, 90, 89.0, 0.954262018204
8536_001.2B, 0.9, 25220, 81, 84, 82.5, 4.43247103691
8599_001.2B, 0.9, 20208, 88, 90, 89.0, 1.97178196907
8736_001.2B, 0.9, 18632, 91, 92, 91.5, 2.55094599724
8562_001.2B, 0.9, 11406, 90, 90, 90.0, 1.14094519615
8758_002.2B, 0.9, 35126, 97, 97, 97.0, 4.26780200005
8750_003.2B, 0.9, 29016, 97, 97, 97.0, 1.84466195107
8581_001.2B, 0.9, 20478, 97, 98, 97.5, 1.74782800674
8596_001.2B, 0.9, 18610, 98, 99, 98.5, 1.82872700691
8537_001.2B, 0.9, 9138, 66, 87, 76.5, 1.80871295929
8742_002.2B, 0.9, 9308, 96, 98, 97.0, 0.639208078384
8704_001.2B, 0.9, 16180, 91, 95, 93.0, 1.79188895226
8522_001.2B, 0.9, 27844, 87, 88, 87.5, 4.17162513733
8559_001.2B, 0.9, 20548, 80, 84, 82.0, 2.63734292984
8709_001.2B, 0.9, 22160, 86, 89, 87.5, 2.61676502228
8751_001.2B, 0.9, 21980, 81, 88, 84.5, 1.65533518791
8728_001.2B, 0.9, 19494, 93, 95, 94.0, 1.13904976845
8712_001.2B, 0.9, 26540, 82, 85, 83.5, 4.64939594269
8510_001.2B, 0.9, 23720, 89, 90, 89.5, 2.91599202156
8753_001.2B, 0.9, 44328, 86, 91, 88.5, 6.96981501579
8755_001.2B, 0.9, 22010, 95, 96, 95.5, 1.67523598671
8504_001.2B, 0.9, 17154, 86, 89, 87.5, 2.16438794136
8701_001.2B, 0.9, 23198, 87, 88, 87.5, 2.26149606705
8705_001.2B, 0.9, 23232, 73, 83, 78.0, 3.24196887016
8718_001.2B, 0.9, 20132, 47, 53, 50.0, 5.74582695961
8745_001.2B, 0.9, 26988, 85, 84, 84.5, 1.64152503014
8593_001.2B, 0.9, 16570, 84, 87, 85.5, 1.42497587204
8724_001.2B, 0.9, 41758, 44, 84, 64.0, 8.92811894417
8568_001.2B, 0.9, 14910, 82, 85, 83.5, 1.5460729599
8744_001.2B, 0.9, 37940, 85, 88, 86.5, 5.45644021034
8739_001.2B, 0.9, 35440, 96, 95, 95.5, 3.10864591599
8737_001.2B, 0.9, 30002, 97, 98, 97.5, 1.62211513519
8579_001.2B, 0.9, 15884, 58, 72, 65.0, 2.35368299484
8755_002.2B, 0.9, 30746, 97, 98, 97.5, 1.90859818459
8591_001.2B, 0.9, 30228, 96, 96, 96.0, 2.85260105133
8750_004.2B, 0.9, 11324, 97, 96, 96.5, 0.83420586586
8542_001.2B, 0.9, 19604, 86, 87, 86.5, 1.1717748642
8577_001.2B, 0.9, 14510, 74, 74, 74.0, 1.32007718086
8720_001.2B, 0.9, 31842, 89, 90, 89.5, 2.46060705185
8561_001.2B, 0.9, 35496, 83, 87, 85.0, 2.05150699615
8534_001.2B, 0.9, 24304, 95, 96, 95.5, 1.55345106125
8590_001.2B, 0.9, 31822, 83, 90, 86.5, 3.11719584465
8528_001.2B, 0.9, 8030, 84, 91, 87.5, 0.685065984726
8746_001.2B, 0.9, 22308, 95, 97, 96.0, 1.57042098045
8506_001.2B, 0.9, 18010, 83, 89, 86.0, 1.99293208122
8539_001.2B, 0.9, 19382, 87, 91, 89.0, 1.16392111778
8572_001.2B, 0.9, 13930, 82, 90, 86.0, 1.94933414459
8726_001.2B, 0.9, 19226, 85, 88, 86.5, 2.39924812317
8707_001.2B, 0.9, 22118, 88, 91, 89.5, 2.03766202927
8700_001.2B, 0.9, 29600, 86, 90, 88.0, 3.23112106323
8583_001.2B, 0.9, 15036, 78, 87, 82.5, 1.44910621643
8754_001.2B, 0.9, 28544, 91, 91, 91.0, 3.90424108505
